idiom,meaning,s_f,s_l,s_a
feather in your cap,It means to have an achievement in your name.,Winning the championship would be a feather in your cap,The hat you're wearing has a feather in your cap as a decoration,a feather in your cap
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",She was accused of feathering her own nest by taking bribes,The bird was feathering her own nest with soft materials to make it cozy,feathering her own nest
feel the pinch,experience financial hardship,"After losing his job, he started to feel the pinch financially","When the crab grabbed his finger, he started to feel the pinch",he started to feel the pinch
feet of clay,have a flaw or weakness most people are unaware of.,"Despite his confident demeanor, he had feet of clay when it came to public speaking",The statue had feet of clay as part of its unique design,had feet of clay
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He fiddled while Rome burned by playing video games during the company crisis,The musician fiddled while Rome burned as he was unaware of the fire,fiddled while Rome burned
fill the bill,be exactly suitable for a particular situation,The new employee filled the bill perfectly for the position we needed,The waiter filled the bill perfectly with all the items we ordered,filled the bill perfectly
fingers and thumbs,to be clumsy and not very skilled with your hands,"When it comes to knitting, I'm all fingers and thumbs",The hand puppet was all fingers and thumbs with no other features,all fingers and thumbs
flash in the pan,"something that cannot be repeated, usually a positive concept","His sudden success turned out to be a flash in the pan, as he couldn't maintain it","The oil caught fire, creating a flash in the pan while she was cooking",a flash in the pan
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",I couldn't believe my own flesh and blood would betray me like that,The horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,my own flesh and blood
foam at the mouth,be extremely angry,He was foaming at the mouth when he found out about the betrayal,The rabid dog was foaming at the mouth and needed to be isolated,was foaming at the mouth
foot in the door,succeed with a first step.,"By volunteering at the company, she got a foot in the door for a full-time position","When the door was closing, he quickly got a foot in the door to prevent it from shutting",got a foot in the door
from A to Z,comprehensive,She studied the subject so thoroughly that she learned it from A to Z,The alphabet book helped the child learned it from A to Z,learned it from A to Z
full of beans,to be optimistic or enthusiastic,"After a good night's sleep, he seemed full of beans and ready to tackle the day",The bag seemed full of beans as it bulged and weighed heavily in her hand,seemed full of beans
get hitched,to get married,"After dating for five years, they decided to get hitched and start a family","During their road trip, they decided to get hitched to a trailer for extra storage",they decided to get hitched
get one's feet wet,to begin taking part in a new activity,They got their feet wet by starting with a small project before tackling the big one,They got their feet wet when they accidentally stepped into a puddle,They got their feet wet
get out of bed on the wrong side,be very irritable and grouchy,"He was so grumpy today, it seemed like he got out of bed on the wrong side","Due to the rearrangement of his room, he accidentally got out of bed on the wrong side and bumped into the wall",got out of bed on the wrong side
get the sack,be dismissed from the job,She got the sack from the company after failing to meet her sales targets,She got the sack from the company to carry her groceries home,She got the sack from the company
get the wrong end of the stick,to understand something in the wrong way,He misunderstood the situation and got the wrong end of the stick,"While trying to pick up the stick, he accidentally got the wrong end of the stick covered in mud",got the wrong end of the stick
get your goat,irritate somebody,His constant teasing finally got your goat and made you angry,The farmer got your goat from the pen and brought it to you,got your goat
gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,He needs to vent his frustrations to gets it out of his system,"After taking the medicine, he finally gets it out of his system through detoxification",gets it out of his system
getting my fingers burnt,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again","After investing in that risky business, I ended up getting my fingers burnt","While trying to light the candle, I ended up getting my fingers burnt",up getting my fingers burnt
give a shot,to have a try at something,"Even though he was nervous, he gave it a shot and presented his idea to the team",The nurse gave it a shot of vaccine to the patient,gave it a shot
give it a whirl,to try something new.,"Unsure of the outcome, he gave it a whirl and tried the new recipe",He gave it a whirl by spinning the wheel at the carnival game,he gave it a whirl
give the slip,to get away,She gave him the slip by sneaking out the back door,"She accidentally gave him the slip when she handed him a wet, slippery object",gave him the slip
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job","Despite her qualifications, she hit the glass ceiling in her career progression","While installing the chandelier, he accidentally hit the glass ceiling and shattered it",hit the glass ceiling
gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,"After the heated argument, the gloves are off now and they won't hold back","After finishing the gardening work, the gloves are off now and they can relax",the gloves are off now
go down in flames,to fail spectacularly,His political career went down in flames after the scandal,The aircraft went down in flames after being struck by lightning,went down in flames
go round in circles,work at something but keep failing to make progress with it.,The team was going round in circles trying to solve the problem,The children were going round in circles while playing a spinning game,going round in circles
go steady,have a romantic relationship with someone,"After dating for a few months, they decided to go steady and become exclusive","During the balance exercise, they decided to go steady and avoid sudden movements",they decided to go steady
go the extra mile,to make an extra effort,"To make sure the project was perfect, he went the extra mile and double - checked everything","During the marathon, he went the extra mile by mistake due to a wrong turn",he went the extra mile
go through a rough patch,to experience a lot of problems in a period of life,"After losing her job, she was going through a rough patch in her life","While hiking, we were going through a rough patch filled with rocks and thorns",going through a rough patch
go through channels,to follow the correct steps in order to get something done,He went through channels to get the necessary approval for his project,The water went through channels to get to the other side of the dam,went through channels to get
go through the roof,to become very angry,His anger went through the roof when he found out about the betrayal,The rocket went through the roof of the building during the experiment,went through the roof
got in his hair,to annoy someone so much that they cannot get on with what they are doing,The constant questions from his coworkers got in his hair and made it difficult to concentrate,The confetti from the party got in his hair and took a while to remove,got in his hair
got it made,"to be certain to be successful and have a good life, often without much effort:","With their successful business, they've got it made in life","After assembling the furniture, they've got it made and ready for use",they've got it made
got off your back,to be annoyed and ask someone to stop finding faults or criticize you,"When you completed the project, your boss finally got off your back",The cat finally got off your back when you stood up,finally got off your back
green around the gills,Someone who looks sick or nauseated.,"After the roller coaster ride, he was looking green around the gills from nausea",The makeup artist painted him to be looking green around the gills for the alien costume,looking green around the gills
had your chips,when someone has completely failed in what they set out to achieve,"After losing the game, it was clear you had your chips","Once you finished eating, you had your chips and were ready to leave",you had your chips
hammer and tongs,"to argue fiercely, with a lot of energy and noise",They went at it hammer and tongs during the heated debate,The blacksmith went at it hammer and tongs while forging the sword,went at it hammer and tongs
hand in hand,close ties or connections,Success and hard work walked hand in hand in her life,The couple walked hand in hand along the beach,walked hand in hand
hands are tied,to not be able to do anything about a situation,"I'd love to help you, but my hands are tied due to company policy","During the magic trick, the magician made sure my hands are tied securely with a rope",my hands are tied
hard cheese,"bad luck, tough luck",She experienced hard cheese when she lost her job and had to start over,"While tasting different types of dairy products, she experienced hard cheese among them",She experienced hard cheese
have a big mouth,one who gossips more or says things that are meant to be kept secret,He has a big mouth and can't keep a secret,The hippopotamus has a big mouth that can open up to 150 degrees,has a big mouth
have a soft spot,to like someone very much,"Despite her tough exterior, she has a soft spot for kittens and always takes care of them",The veterinarian has a soft spot for kittens in her clinic where they can rest comfortably,has a soft spot for kittens
have clean hands,to be innocent; to be free of any wrongdoing,"Despite the corruption around her, she maintained clean hands throughout the process by refusing to participate in any dishonest activities","As a surgeon, she maintained clean hands throughout the process by following strict hygiene protocols",she maintained clean hands throughout the process
have kittens,"to be very worried, upset, or angry about something",She had kittens over the situation when she found out her son had crashed the car,The cat had kittens over the situation when she found a safe spot to give birth,had kittens over the situation
have no truck with,avoid dealing or being associated with,I decided to have no truck with them after they betrayed my trust,The delivery company said they have no truck with them to transport our goods,have no truck with them
head above water,to succeed to survive in bad financial situations,"Despite the workload, she was keeping her head above water by staying organized","During the swimming lesson, she was keeping her head above water to breathe",was keeping her head above water
hide light under a bushel,to show modesty towards something or someone,"She was so talented, but she was always hiding light under a bushel by not showcasing her skills","During the game of hide and seek, he was hiding light under a bushel to avoid being found",hiding light under a bushel
high up,to have an important standing in society,He was so high up in the company that he had direct access to the CEO,The mountain peak was so high up that it was covered in snow,so high up
hit the books,to study very hard,"With exams approaching, it's time to hit the books and study hard","In a fit of rage, he decided it was time to hit the books and threw them against the wall",time to hit the books
hit the bull's-eye,to be exactly right about something or achieve the best result possible,Her speech hit the bull's-eye and resonated with the audience,"With a steady hand, she aimed and hit the bull's-eye on the target",hit the bull's-eye
hit the hay,to go to sleep or head to bed.,"After a long day at work, it was time to hit the hay","During the farm chores, it was time to hit the hay with a pitchfork",time to hit the hay
hit the nail on the head,be accurately right about something,"When she suggested a new marketing strategy, she really hit the nail on the head","With a single swing of the hammer, he hit the nail on the head and drove it into the wood",hit the nail on the head
hit the road,depart,We decided to hit the road together for a cross-country adventure,"During the earthquake, the car forcefully hit the road together with a loud thud",hit the road together
hit the roof,experience sudden anger,"When he found out about the surprise party, he hit the roof unexpectedly",The ball hit the roof unexpectedly when he threw it too high,hit the roof unexpectedly
hit the sack,to go to bed,"After a long day at work, she decided to hit the sack and get some sleep","During the pillow fight, she decided to hit the sack and send feathers flying",she decided to hit the sack
hold all the aces,be in a winning position.,"During the negotiation, he held all the aces and had the upper hand","During the poker game, he held all the aces in his hand",he held all the aces
hold tongue,to keep quiet when one would rather speak,They held their tongue during the meeting to avoid causing conflict,"During the dental examination, they held their tongue to the side so the dentist could see better",They held their tongue
hold your horses,to wait,"Before you jump to conclusions, hold your horses for a moment and listen to my explanation","As a carriage driver, it's important to hold your horses for a moment when stopping at an intersection",hold your horses for a moment
hornets' nest,a violent situation or one with a lot of dispute,"By questioning the company's policies, he stirred up a hornets' nest among the employees","While clearing the backyard, she accidentally stirred up a hornets' nest and got stung",stirred up a hornets' nest
hot potato,any subject which several folks are talking about and which is frequently argued,The politician handled the hot potato by addressing the controversial issue,"During the picnic, she handled the hot potato carefully to avoid burning her fingers",handled the hot potato
household name,to be very popular,"After her successful book series, she became a household name in the literary world","When the family decided to name their new puppy after her, she became a household name",she became a household name
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support","When the team failed to support her, she felt hung out to dry",The laundry was hung out to dry on the clothesline,hung out to dry
icing on the cake,when something good is added to another good thing that you already have,Getting a promotion was the icing on the cake after a successful year,She carefully spread the icing on the cake for her friend's birthday,the icing on the cake
in a fog,in a great confusion,"After the long meeting, he was lost in a fog and couldn't concentrate","While hiking, they were lost in a fog and couldn't find their way back",lost in a fog
in a nutshell,to be brief and straight to the point.,She explained it in a nutshell so that everyone could understand the concept quickly,"As a creative challenge, she explained it in a nutshell by writing a tiny summary inside a walnut shell",She explained it in a nutshell
in a pickle,to be in a difficult situation,They found themselves in a pickle when they realized they had double-booked their appointments,The tiny figurines found themselves in a pickle when they were accidentally placed inside a jar of pickles,found themselves in a pickle
in at the deep end,to start a new job or activity without being prepared for it,"On her first day at work, she was thrown in at the deep end with a challenging project","During swimming lessons, he was thrown in at the deep end of the pool to test his skills",was thrown in at the deep end
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The company was accused of being in bed with the competition to manipulate prices,"The two athletes, who were also roommates, found themselves sharing a room and sleeping in bed with the competition",in bed with the competition
in black and white,printed form of a document,"To avoid any confusion, we decided to put it in black and white in the contract",The artist chose to put it in black and white for a more dramatic effect,to put it in black and white
in deep water,a very serious situation,"After making a costly mistake, he found himself in deep water with his boss","While swimming in the ocean, he found himself in deep water and struggled to stay afloat",he found himself in deep water
in full swing,at a stage when the level of activity is at its highest,"When we arrived, the party was in full swing with everyone dancing and laughing",The pendulum experiment demonstrated that the party was in full swing when the ball reached its highest point,the party was in full swing
in hot water,in trouble or state of shame,He found himself in hot water after forgetting to submit the report on time,He accidentally found himself in hot water when he stepped into the scalding bathtub,found himself in hot water
in one's blood,a natural or inherited characteristic.,"She's a natural athlete, it's in her blood","The medication she took is now circulating, it's in her blood",it's in her blood
in the black,to not be in debt,"After months of struggling, our business is finally in the black",She wore a dark outfit and was finally in the black for the themed party,finally in the black
in the cross hairs,in a position where one might receive severe criticism,"As the whistleblower, he found himself caught in the cross hairs of the company's retaliation","During the paintball match, she was caught in the cross hairs of her opponent's gun",caught in the cross hairs
in the dark,"uninformed, a state of ignorance.",The employees were kept in the dark about the company's financial situation,"During the power outage, we were kept in the dark until the electricity came back",were kept in the dark
in the doghouse,someone who is in disgrace and very unpopular at the moment,"After forgetting their anniversary, he was in the doghouse with her for a week",He crawled in the doghouse with her to retrieve the lost toy,in the doghouse with her
in the loop,to be aware of the information,"As a team member, I want to be kept in the loop about project updates",The rope was kept in the loop to secure the boat to the dock,kept in the loop
in the red,more money going out than coming in,"Due to poor financial decisions, the company is in the red","During the paintball match, the company is in the red team",the company is in the red
in touch,"to remain in contact with someone, especially when separated by time or distance","Even after moving to another city, we promised to stay in touch","During the team-building exercise, we had to stay in touch by holding hands",to stay in touch
it's a small world,meeting someone not expected to be at a certain place,"Running into my childhood friend in a foreign country, I thought it's a small world after all","Looking at the miniature globe in the store, I remarked, it's a small world after all",it's a small world after all
jam on your face,"people who appear to be caught, embarrassed or found guilty","After making a mistake in the presentation, he had jam on his face in front of the whole team","While eating breakfast, he accidentally had jam on his face from the toast",had jam on his face
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He was acting as judge, jury, and executioner when he made the decision without consulting anyone","In the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system","was acting as judge, jury, and executioner"
jump on the bandwagon,to start doing something because it is fashionable or profitable,"When the new trend became popular, everyone jumped on the bandwagon","During the parade, he jumped on the bandwagon to join the musicians",jumped on the bandwagon
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,"With so much competition in the job market, it's a jungle out there","As we entered the dense rainforest, our guide warned us, it's a jungle out there",it's a jungle out there
jury's out,when there is no general agreement or consensus on something,"Regarding the new policy, the jury's out on that decision, as people are still debating its effectiveness","During the court recess, the jury's out on that decision, discussing the case in a separate room",the jury's out on that decision
just off the boat,a person who is naive and inexperienced,"He was so naive and inexperienced, as if he was just off the boat","Soaking wet and carrying their luggage, they were just off the boat from their island trip",just off the boat
just what the doctor ordered,exactly what was wanted or needed,A relaxing vacation was just what the doctor ordered after a stressful year,The prescribed medication was just what the doctor ordered for her condition,just what the doctor ordered
keep at arm's length,keep distance from something or somebody,"Despite his attempts to get closer, she kept him at arm's length due to her cautious nature","During the self-defense training, she kept him at arm's length to maintain a safe distance",she kept him at arm's length
keep card close to chest,"be secretive or cautious, give nothing away","During the negotiations, they kept their cards close to their chest and didn't reveal their true intentions","While playing poker, they kept their cards close to their chest so no one could see their hand",they kept their cards close to their chest
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,"Working two jobs, she kept the wolf from the door and provided for her family","With a sturdy fence, the farmer kept the wolf from the door of his sheep pen",kept the wolf from the door
keep your nose clean,to stay out of trouble by not doing anything wrong,"To avoid getting into trouble, focus on keeping your nose clean at work","During allergy season, keeping your nose clean is essential for comfort",keeping your nose clean
kick the bucket,to die,"The old couple, inseparable in life, kicked the bucket together in their sleep","While cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",kicked the bucket together
kick yourself,to be angry with yourself for something you have or have not done,They kicked themselves for not investing in the stock earlier,"During the yoga class, they accidentally kicked themselves while attempting a new pose",kicked themselves
kill two birds with one stone,accomplish two different things at the same time,"By combining our errands, we killed two birds with one stone and saved time","With a well-aimed throw, he killed two birds with one stone in the field",killed two birds with one stone
kiss and make up,to become friendly again after an argument,"After the argument, he decided to kiss and make up with her to resolve their differences","During the play, the actors had to kiss and make up with her as part of the scene",to kiss and make up with her
knee jerk reaction,an automatic response to something,His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news
knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood
know the ropes,to know all the ways and means to get something done,"Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows
lead astray,make someone act or think in a wrong or foolish manner.,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray
lean towards,to be interested in something,"After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option
leaps and bounds,progress very quickly,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds
learn to walk before you run,to take smaller steps initially,You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run
leave at the altar,decide not to marry someone at the very last moment,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar
leg up,give or receive assistance to achieve a goal,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up
let the cat out of the bag,to let a secret out in the open,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight
lick your lips,to show that you're excited about something and are eager for it to happen,They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips
lie low,"To go out of sight, usually after having done something bad.","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand
long in the tooth,To get too old for something.,He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth
long run,far away in the future,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon
lose your marbles,strange behaviors.,"After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles
lower the bar,to lower standards or expectations,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it
make ends meet,make sufficient money to survive on,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet
make ones bed and lie on it,to be responsible for what you have done and accept the results,They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it
makes his hackles rise,to make you angry,The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend
mend fences,to try and improve a bad relationship with another party,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her
miles away,unaware of the current situation,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax
mind your own business,to look into your own matter,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business
miss the boat,miss a chance,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that
no spring chicken,Someone who's no longer young.,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,We were not getting anywhere with this project due to constant setbacks,"The car was stuck in the mud, and we were not getting anywhere with this vehicle",not getting anywhere with this
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",She was so careful with her bug collection that she wouldn't hurt a fly while handling them,wouldn't hurt a fly
not playing with a full deck,not mentally sound,His strange ideas made it seem like he was not playing with a full deck,"During the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",not playing with a full deck
off grid,disconnected from municipal utility systems.,He decided to disconnect from social media and started living off grid,They built a cabin in the woods and started living off grid without electricity or running water,started living off grid
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"She's an old hat at programming, having done it for years","He found an old hat at the back of his closet, covered in dust",an old hat at
old school,old fashioned ideas or approach compared to current trends,"He prefers an old school approach to communication, like writing letters",The museum showcased an old school approach to education with antique desks and chalkboards,an old school approach
on a silver platter,to get something without having to work for it,He served it on a silver platter by doing all the work for her,The waiter served it on a silver platter to impress the guests,served it on a silver platter
on its knees,something that is in a very weak situation or on the verge of failure,"After the economic crisis, the city was on its knees and struggling to recover","In the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",the city was on its knees
on pins and needles,being anxious or nervous,"While anticipating the exam results, we were waiting on pins and needles","During the acupressure therapy session, she was waiting on pins and needles placed on her back",waiting on pins and needles
on the back burner,to put something (that is to be done) for later,"Due to the urgent tasks, we had to put it on the back burner for now","To simmer the sauce slowly, she put it on the back burner of the stove",put it on the back burner
on the brink of,to be on the verge of doing something,The company was on the brink of something big when they launched their new product,"The hiker stood on the brink of something dangerous, a steep cliff",on the brink of something
on the crest of a wave,to reach the highest point of success,"After the successful product launch, the company was riding on the crest of a wave",The surfer skillfully balanced himself while riding on the crest of a wave,riding on the crest of a wave
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,The suspenseful movie had everyone on the edge of their seat,The chair was so small that they were uncomfortably perched on the edge of their seat,on the edge of their seat
on the hook,someone who is responsible for something,He was left on the hook for the entire project after his partner quit,The fish was left on the hook after it was caught,was left on the hook
on the line,to be at serious risk.,She put it on the line when she confronted her boss about the unfair treatment,She put it on the line to dry after washing her clothes,She put it on the line
on the money,being right about something.,His prediction about the game's outcome was right on the money,The coin landed right on the money that was placed on the table,right on the money
on the pig's back,a successful situation and everything is going well for that person,"After winning the lottery, he was riding on the pig's back and enjoying his newfound wealth","At the farm, the child was riding on the pig's back for fun",was riding on the pig's back
on the same page,everyone in agreement,"Before starting the project, we need to be on the same page regarding our goals","While reading the book together, they happened to be on the same page",be on the same page
open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",Bringing up their past mistakes opened old wounds in the conversation,The surgeon opened old wounds to remove the remaining infection,opened old wounds
out of hand,out of control,The party got out of hand when people started throwing food,The ball got out of hand when he accidentally dropped it,got out of hand
out of the closet,go public about something private or hidden,"After years of hiding his true self, he finally came out of the closet to his family",She came out of the closet after finding the perfect outfit to wear,came out of the closet
out of the frying pan into the fire,to go from a bad to worse situation,"By quitting her job without a backup plan, she jumped out of the frying pan into the fire",The fish jumped out of the frying pan into the fire when the cook wasn't paying attention,jumped out of the frying pan into the fire
out on the town,go out and enjoy yourself at one or more places in the town,They were excited about going out on the town to celebrate their anniversary,The mayor was going out on the town to inspect the new infrastructure,going out on the town
over my dead body,"in no way, under no circumstances","He smirked and said, 'over my dead body will you ever beat me in a race'",The cat walked over my dead body in the crime scene simulation,over my dead body
over the moon,extremely pleased or happy,She was over the moon about the news of her promotion,The astronaut floated over the moon about the news of a successful mission,over the moon about the news
paddle own canoe,To be able to act without having to depend on anyone.,They decided to paddle their own canoe and start their own business,They had to paddle their own canoe to reach the other side of the lake,to paddle their own canoe
paint the town red,to celebrate and have a wild time,"After winning the championship, they decided to paint the town red together and celebrate","As part of a community art project, they decided to paint the town red together by covering the walls with vibrant murals",to paint the town red together
pass away,die,Our beloved grandmother passed away peacefully in her sleep,"The storm passed away peacefully, leaving a calm and clear sky",passed away peacefully
pass on the baton,give responsibility for something important to another person.,The retiring CEO passed on the baton to her as the new leader of the company,"During the relay race, he passed on the baton to her for the next lap",passed on the baton to her
pass the buck,passing blame to another person,"He didn't want to take responsibility, so he passed the buck to her",He handed her a dollar bill and passed the buck to her,passed the buck to her
pass the torch,to pass on the responsibility,The retiring CEO passed the torch to her as the new leader of the company,"During the relay race, he passed the torch to her for the next lap",passed the torch to her
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,His plan to become a millionaire overnight was just a pie in the sky,The artist painted a pie in the sky to represent the whimsical nature of dreams,a pie in the sky
piece of work,"a complex, tricky, or odd person","He was a real piece of work, always causing trouble and stirring up drama","The sculpture she created was a real piece of work, showcasing her artistic talent",a real piece of work
pipe down,to take to one or more notches down to its current standard,The teacher told them to pipe down when they were being too loud,The plumber told them to pipe down the water pressure to avoid leaks,told them to pipe down
play cat and mouse,to play with or tease someone,The detective played cat and mouse with the suspect to get a confession,The children played cat and mouse by pretending to be animals in their game,played cat and mouse
playing second fiddle,to play a secondary or minor role with regards to someone else,He didn't like playing second fiddle to her in the company hierarchy,"In the orchestra, he was playing second fiddle to her during the performance",playing second fiddle to her
plays with fire,people who take unnecessary risks or behave in a dangerous way,She plays with fire by constantly challenging her boss 's authority,"As a professional fire performer, she plays with fire during her shows",She plays with fire
prick up ears,to start paying attention,"When the speaker mentioned a new opportunity, the audience pricked up their ears",The dog pricked up their ears when they heard a strange noise outside,pricked up their ears
pull a rabbit out of the hat,do something unexpected or surprising,Our team pulled a rabbit out of the hat by winning the game in the last minute,The magician pulled a rabbit out of the hat during his performance,pulled a rabbit out of the hat
pull leg,tease someone,"When he told me I won the lottery, I thought he was pulling my leg","During the therapy session, the therapist was pulling my leg to stretch my muscles",was pulling my leg
pull the plug,to kill or discontinue,"Due to budget constraints, the management decided to pull the plug on the project","To save electricity, she decided to pull the plug on the projector's power cord",pull the plug on the project
