idiom,meaning,label,source,translation_ko,translation_zh,translation_he,translation_yo
the devil is beating his wife,raining whereas the sun is shining.,figurative,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]",해가 쨍쨍할 때 비가 내리기 시작했고 사람들은 [[여우비가 오고있다]] 고 말했습니다,如果太阳高照就开始下雨，人们会说这是太阳雨,"בזמן שהשמש זרחה התחיל לרדת גשם, ואנשים אמרו ש[[יורד גשם בזמן שהשמש זורחת]]","Nigbati orun ran, ojo bẹrẹ si rọ, awọn eyan si sọ pe [[""ojo n rọ, orun si n ran""]].  "
the devil is beating his wife,raining whereas the sun is shining.,literal,"In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]",연극 공연에서 사탄 역을 맡은 배우는 악마가 [[아내를 때리는 장면을 연기했습니다]],在这出舞台剧里，扮演撒旦的演员演出了一幕魔鬼殴打他妻子的戏,"במופע התאטרון, השחק שמשחק את השטן שיחק בסצנה שבה [[השטן מכה את אשתו]]","Ninu ere naa, elere to n ṣire satani, ṣere ibi ti [[satani ti n na iyawo rẹ]] ."
feel the pinch,experience financial hardship,figurative,"After losing his job, [[he started to feel the pinch]] financially",직장을 잃은 후 그는 경제적으로 [[궁핍함을 느끼기 시작했습니다]],丢工作以后，[[他的]]经济[[情况开始恶化]],"אחרי שאיבד את עבודתו, [[הוא התחיל להרגיש קשיים כלכליים]]","Lẹyin ti wọn le nibiṣẹ, o bẹrẹ si [[ni inira ati iplara owo.]]"
feel the pinch,experience financial hardship,literal,"When the crab grabbed his finger, [[he started to feel the pinch]]",게가 그의 손가락을 잡았을 때 [[그는 꼬집음을 느끼기 시작했습니다]],被螃蟹抓住手指头，[[他感觉到被夹]],"כשהסרטן תפס את האצבע שלו, [[הוא התחיל להרגיש את הצביטה]]","Nigbati akọn naa gba ọwọ ẹ mu, [[ jija leekana mọ lara]] ."
"Mr Right, Ms Right",the best future life partner for someone,figurative,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",수년간의 찾던 끝에 마침내 [[서로의 이상형을 발견하여 ]] 정착했습니다.,经过多年的寻觅，他们终于找到了自己的另一位，开始成家立业,"אחרי שנים של חיפושים, הם סוף סוף [[מצאו את האדם הנכון בשבילם]] והתמסדו","Lẹyin ọdun mọdun ti wọn ti wari, [[wọn papa ri ẹnikeji ti o ma ba wọn kalẹ]] , wọn dẹ fidibalẹ."
"Mr Right, Ms Right",the best future life partner for someone,literal,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","의상 파티에서, 그들은 매장에서 [[Mr Right와 Ms Right 의상을 발견했습니다]]",化装晚会里，他们找到了理想伴侣的服装,"במסיבת התחפושות, הם [[מצאו]] תחפושות של [[אדון נכון וגברת נכונה]] בחנות","Ni ayẹyẹ iwọṣọ wọn, [[wọn ri]]  aṣọ [[mista raiti ati ti misis raiti ]] ni  ṣọọbu naa."
on the pig's back,a successful situation and everything is going well for that person,figurative,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth",복권에 당첨된 후 그는 [[ 행운과 함께 모든것이 잘 진행되고 ]] 새로 찾은 부를 즐겼습니다,赢了乐透奖之后，他开始春风得意，享受着新财富,אחרי שזכה בלוטו [[הוא נהנה מהמזל הרב שלו]] ונהנה מהעושר שנפל בחלקו,"Lẹyin ti o fi yege ninu tẹtẹ tita, [[gbogbo nkan lo yọri si rere fun]], o si n gbadun ọla ti o ṣẹṣẹ ni."
on the pig's back,a successful situation and everything is going well for that person,literal,"At the farm, the child [[was riding on the pig's back]] for fun",농장에서 아이는 재미로 [[돼지 등에 타고 있었습니다]],农场里，这个孩子骑在猪背上玩,הילד [[רכב על גבו של החזיר]] בחווה בשביל הכיף,"Ninu oko naa, ọmọ naa [[n gun ẹyin ẹlẹdẹ ]] naa ṣere."
blow your own trumpet,to say things that makes your own self or kin look good,figurative,He was always [[blowing his own trumpet]] about his accomplishments,그는 항상 자신의 성취에 대해 [[자랑을 했었습니다]],他总是自吹自擂,הוא כל הזמן [[שיבח את עצמו]] לגבי ההשגים שלו,Ojojumọmọ ni o ma n [[ṣe ipolongo rire]] nipa gbogbo aṣeyọri rẹ.
blow your own trumpet,to say things that makes your own self or kin look good,literal,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",퍼레이드 동안 그는 행군 악대의 일부로서 [[자신의 트럼펫을 불었었습니다]],游行的时候，他在军乐队里吹自己的喇叭,"במהלך המצעד, הוא [[תקע בחצוצרה שלו]] כחלק מהתזמורת הצועדת","Nigbati wọn ṣe iwọde lọwọ, o n [[fun-ipe rẹ ]] gẹgẹ bi ẹlẹgbẹ "
count chicken,make plans based on events that may or may not happen,figurative,He [[was counting chickens before they hatch]] when he started planning his victory party,그는 승리 파티 계획을 세우며 [[일어날지도 모르는 일에 속단했습니다]],八字还没一撇呢，他就开始筹备他的庆功会,הוא [[קשר את העגלה לפני הסוס]] כשתכנן את מסיבת הנצחון שלו,O [[n ṣe eto lori nnkan ti o le ma ṣẹlẹ]] nigbati o bẹrẹ sii ṣe eto ayẹyẹ aṣeyọri rẹ.
count chicken,make plans based on events that may or may not happen,literal,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,농부는 달걀 중 몇개가 병아리가 될 것인지 추측하며 [[부화가 일어나기 전부터 닭을 세고 있었습니다]],农夫在小鸡还没孵出来就开始估算有多少鸡蛋可以变成小鸡,האיכר [[ספר תרנגולים לפני שהם בקעו]] על ידי כך שהעריך את מספר הביצים שיהפכו לאפרוחים,"Aroko naa [[n ka awọn ọmọ adiẹ ki wọn to pa ọmọ ninu ẹyin]]  , bi o ti ṣe n ṣiro iye ẹyin ti o ma di ọmọ adiẹ."
out of hand,out of control,figurative,The party [[got out of hand]] when people started throwing food,사람들이 음식을 던지기 시작하자 파티는[[ 걷잡을 수 없게 되었습니다]],派对失控了，人们开始仍食物,המסיבה [[יצאה משליטה]] כשאנשים התחילו לזרוק אוכל, Pati naa [[di aileṣakoso]] nigbati awọn eniyan bẹrẹ si n ju ounjẹ kiri.
out of hand,out of control,literal,The ball [[got out of hand]] when he accidentally dropped it,실수로 공을 떨어뜨렸을 때 공이 [[손에서 벗어나게 되었습니다]],他不小心把球掉了，球离开了他的手,הכדור [[יצא מהיד]] כשהוא בטעות הפיל אותו,Bọọlu naa [[kuro ni ọwọ]] ẹ nigbati o jusilẹ laimọ.
asleep at the switch,failing to attend to one's responsibilities or duties,figurative,The manager was [[asleep at the switch]] when the crisis occurred,위기가 발생했을 때 관리자는 [[무책임하게 대응했습니다]],危机发生时，经理[[玩忽职守]],המנהל [[נרדם בשמירה]] כשהמשבר קרה,Alakoso naa [[ko ṣiṣẹ ti o yẹ ki o ṣe]] nigbati wahala ṣẹlẹ.
asleep at the switch,failing to attend to one's responsibilities or duties,literal,The train operator fell [[asleep at the switch]] during his break,기차 운전사가 휴식 [[교대 시간에 잠들었습니다]],在休息期间，火车操控员在[[在操控开关旁睡着]],מפעיל הרכבת [[נרדם ליד המתג]] בזמן ההפסקה שלו,Aṣagun ọkọ oju irin naa [[sun lọ nibi iyipada]] lakoko isinmi rẹ.
wash dirty linen in public,discuss publicly matters that one should keep private,figurative,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,"그들은  SNS에서 자신의 사생활을 다투다가 [[공개적으로 드러나게 되었습니다 ]]",他们在社交媒体上争论各自的私事，在公共场合爆料自己的私事,[[הם הוציאו את הכביסה המלוכלכת]] בכך שהתווכחו על עניינים פרטיים ברשתות החברתיות,Wọn [[tu aṣiri wọn sita]] bi wọn ti ṣe n ṣaroye ọrọ ile aye wọn lori  ero asọrọkaye.
wash dirty linen in public,discuss publicly matters that one should keep private,literal,[[They washed their dirty linen in public]] at the outdoor laundromat,[[그들은]] 야외 빨래방에 있는  [[공공장소에서 더러운 린넨을 빨았다]],他们在户外的洗衣房，公共场合里洗了自己的脏床单,[[הם כיבסו את המצעים המלוכלכים שלהם בציבור]] במכבסה שבחוץ,[[Wọn fọ aṣọ wọn ti o dọti nita]] ni ibi ile ifọṣọ.
big cheese,to be an important and successful individual,figurative,"In the company, he's [[the big cheese]] and everyone respects him",회사에서 그는 [[매우 중요한 사람]]이고 모두가 그를 존경합니다,他是公司的[[重要人物]]，所有人都很尊重他。,"הוא [[האדם החשוב והמצליח]] בחברה, וכולם מכבדים אותו","Ni ile iṣẹ naa, ohun ni o ni [[ṣe pataki julọ ]] ti gbogbo eniyan bọwọ fun."
big cheese,to be an important and successful individual,literal,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",치즈 축제에서 그들은 100 파운드가 넘는 [[커다란 치즈]]를 전시했습니다,在奶酪节上，他们展示了超过100磅重的[[巨大奶酪]]。,"בפסטיבל הגבינות, הם הציגו את [[הגבינה הגדולה]] ששקלה מעל 100 פאונד","Ni ibi ayẹyẹ warakasi, wọn fi [[warakasi ti o tobi ]] ju oṣuwọn ọgọrun ṣe afihan ."
hard cheese,"bad luck, tough luck",figurative,[[She experienced hard cheese]] when she lost her job and had to start over,그녀는 직장을 잃고 다시 시작해야 했을 때 [[불행을 경험했습니다]],她经历了不幸，丢了工作，被迫重新开始,[[היא חוותה מזל רע]] כשהיא איבדה את העבודה שלה והייתה צריכה להתחיל מחדש,"[[O ni agbako buruku ]], nigbati wọn le ni ibi iṣẹ ti o si ni lati tun bẹrẹ."
hard cheese,"bad luck, tough luck",literal,"While tasting different types of dairy products, [[she experienced hard cheese]] among them",다양한 종류의 유제품을 맛보던 [[그녀는 그 중 딱딱한 치즈를 경험했습니다]],品尝奶制品的过程中，她尝到了其中的硬奶酪,בזמן שטעמה מוצרי חלב שונים [[היא ניסתה גבינה קשה]] בין היתר,"Nigbati o tọ awọn agbejade wara oriṣiriṣi wo , [[warakasi lile]] wa lara [[ ohun ti o tọ wo]]  ."
the eleventh hour,at the very last minute before an event,figurative,"He finished the project [[at the eleventh hour]], just before the deadline",그는 마감 시간 직전 [[아슬아슬하게]]  프로젝트를 마쳤습니다.,他赶在截止时间的最后一刻完成了项目,"הוא סיים את הפרויקט [[בדקה התשעים]], בדיוק לפני הדדליין","O [[pẹ]] pari iṣẹ naa, ṣiwaju akoko ti o tọ si lati par."
the eleventh hour,at the very last minute before an event,literal,She decided to go for a walk [[at the eleventh hour]] of the night,그녀는 밤 [[11시에]] 산책하기로 결정했습니다.,晚上11点钟，她决定出去走走,היא החליטה לצאת להליכה [[בשעה אחת עשרה]] בלילה,O rin lọ [[ni wakati mọkọnla]] ni alẹ.
feather in your cap,It means to have an achievement in your name.,figurative,Winning the championship would be [[a feather in your cap]],"챔피언십 우승은 [[당신의 눈부신 업적이]] 될 것입니다",赢得冠军会是[[你的成就]],נצחון באליפות יהיה [[נצחון שרשום על השם שלך]],"Ṣiṣe aṣeyọri ninu ere idije naa, ma jẹ [[aṣeyọri nla lorukọ rẹ ]]. "
feather in your cap,It means to have an achievement in your name.,literal,The hat you're wearing has [[a feather in your cap]] as a decoration,"당신이 쓰고 있는 모자는 장식으로 모자에 깃털이 있습니다.",你戴的[[帽子上面有一根]]装饰用的[[羽毛]],לכובע שאתה חובש יש [[נוצה בכובע]] בתור קישוט,Akẹtẹ ti o n wọ ni [[iyẹ ninu fila rẹ ]] gẹgẹ bi ohun ọṣọ.
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",figurative,"By accepting too many projects at once, [[he bit off more than he could chew]]",한번에 너무 많은 프로젝트를 수락해서 [[그는 자신이 감당할 수 있는 것보다 많은 양을 떠맡았습니다]],他同时接了太多的项目，力所不及, [[הוא ניסה לעשות משהו שקשה מדי בשבילו]] בכך שהוא לקח על עצמו יותר מדי פרויקטים בבת אחת ," Bi o ṣe n gba lati ṣiṣẹ pupọ lẹẹkan, [[o n ṣe ju ara rẹ lọ]]."
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",literal,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,그는 한 입에 통 샌드위치를 먹으려고 할 때 [[그는 자신이 씹을 수 있는 양보다 더 많은 양을 베어물었습니다]],他一口把整个三明治吞在嘴里，咬的太大都嚼不了,[[הוא נגס יותר ממה שהוא יכול היה לבלוע]] כשניסה לאכול את כל הכריך בביס אחד,"[[O feyin ge ju o le fẹnu run lọ]], nigbati o gbiyanju lati jẹ gbogbo sandiwiṣi tan lẹẹkan."
everything but the kitchen sink,almost everything that one can think of,figurative,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","우리는 캠핑 여행을 위해 준비해야 할 [[모든 것을 준비했습니다]]",为了充分准备这次露营，我们[[打包了了所有我们可以想到的用品]],"[[ארזנו כל מה שהצלחנו לחשוב עליו]] לטיול הקמפינג שלנו, כדי להיות מוכנים","Fun inrin ajo ipagọ wa, a [[ko gbogbo ohun ti a ro pe a nilo ]] lati wa ni imurasilẹ."
everything but the kitchen sink,almost everything that one can think of,literal,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","이사하면서 새 주인을 위해 남겨진 [[부엌 싱크대를 제외한 모든 것을 포장했습니다]]",这次搬家，他们[[打包了除了厨房水槽以外的所有东西]],"כשעברו דירה, הם [[ארזו הכל מלבד את כיור המטבח]] שנשאר לבעלים החדשים","Nigba ti wọn ko lọ, wọn [[ko gbgbo ohunkohun layi gbe basia ifọwọ asomọlẹ]], ti wọn filẹ fun awọn onile tuntun."
wheels fall off,when a situation gets out of control and everything starts to go wrong,figurative,"After a series of setbacks, [[the wheels fell off]] our project","일련의 좌절 후에, [[상황은 우리 프로젝트에 통제할 수 없이 잘못된 방향을 초래하기 시작했습니다]]",经过一系列的挫折，我们的项目开始失控,"אחרי רצף של עיכובים, [[הכל התחיל להשתבש]] בפרויקט שלנו","Lẹyin ilosẹyin pupọ, ni iṣẹ wa [[o ni akoso mọ ]]."
wheels fall off,when a situation gets out of control and everything starts to go wrong,literal,"Due to a manufacturing defect, [[the wheels fell off]] the toy car",제조 결함으로  장난감 차에서 [[바퀴가 떨어졌습니다]],因为一个制造缺陷，玩具车的轱辘都掉下来了,"בשל בעיות בייצור, [[הגלגלים נפלו]] ממכונית המשחק","Nitori abawọn lati ibi ti wọn ti kọ, [[ayika kẹkẹ naa yọ bọlẹ ]] kuro lara kẹkẹ  iṣere."
get hitched,to get married,figurative,"After dating for five years, [[they decided to get hitched]] and start a family","5년간의 연애 끝에 [[그들은 결혼을 결심하고]] 가정을 꾸리기로 했습니다",谈了五年朋友，[[他们决定结婚]]，开始成家,אחרי שיצאו במשך חמש שנים [[הם החליטו להתחתן]] ולהקים משפחה,"Lẹyin ti wọn fẹra fun ọdun maarun, wọn pinu lati [[ṣe igbeyawo]]."
get hitched,to get married,literal,"During their road trip, [[they decided to get hitched]] to a trailer for extra storage","그들은 자동차 여행을 하는 동안 추가 보관을 위해 [[트레일러에 연결하기로 결정했습니다]]",这次公路旅行，他们为了多点存储空间，[[决定拉]]一个拖车,במהלך הטיול הגדול שלהם [[הם החליטו להתחבר]] לנגרר בשביל מקום אחסון נוסף,"Nigbati wọn lọ ni irina-ajo , [[wọn so mọ]] ile alagbeka fun aaye itoju nnkan. "
asked for the moon,ask for something that is very difficult or impossible to get,figurative,He [[asked for the moon]] when he requested a million-dollar salary,그는 백만 달러의 연봉을 요구하는 [[터무니없이 불가능한 부탁을 했습니다]],他要求百万年薪，简直是[[天方夜谭]],הוא [[ביקש משהו בלתי אפשרי]] כשביקש משכורת של מליון דולר,O [[bere fun nnkan ti ko ṣeṣe]] nigbati o bere fun owo dọla miliọnu fun owo iṣẹ.
asked for the moon,ask for something that is very difficult or impossible to get,literal,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",천문학의 매력에 빠진 그 아이는 [[달을]] 생일 선물로 [[달라고 부탁했습니다]],喜欢天文学的孩子淘气地[[要月亮]]作为生日礼物,"הילד, שאסטרונומיה ריתקה אותו, צחק ו[[ביקש את הירח]] ליום ההולדת שלו","Ọmọ naa,ti o fẹran ẹkọ irawọ oju ọrun,  fere [[bere fun oṣupa]] gẹgẹ bi ẹbun ọjọ ibi rẹ. "
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,figurative,"Working two jobs and studying, she was [[burning the candle at both ends]]",겸업을 하며 공부하면서 그녀는 [[몹시 지쳐갔습니다]],两份工作再加上学习，她的精力严重透支,"היא עבדה בשתי עבודות ולמדה, וזה [[התיש אותה לגמרי]]","Bi o ti n ṣiṣẹ meji ti o si n kawe mọ, o n [[gbe ile aye ti o nipọnju]]."
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,literal,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",실험 두 중 그들은 용해 속도를 관찰하기 위해 [[양 끝에서 촛불을 태웠습니다]],在这个实验里，他们点燃了蜡烛的两头，以观察融化的速度,במהלך הניסוי הם [[שרפו את הנר משני קצותיו]] כדי לבדוק את קצב ההמסה,"Nigbati wọn ṣe idanwo naa, nṣe ni wọn [[jo abẹla ni ẹgbẹ mejeeji]] lati ṣakiyesi bi o ṣe n yọ. "
